date,user,text,translated_text,lang
2025-05-18 06:24:55,synthetic_user_53,People living far from the city are paying too much.,People living far from the city are paying too much.,en
2025-03-31 06:24:55,synthetic_user_54,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en
2025-04-02 06:24:55,synthetic_user_55,Fare adjustment should have been gradual.,Fare adjustment should have been gradual.,en
2025-05-14 06:24:55,synthetic_user_56,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en
2025-04-18 06:24:55,synthetic_user_57,Some buses charge more than others. Why?,Some buses charge more than others. Why?,en
2025-04-10 06:24:55,synthetic_user_58,Prices vary too much even for same distance routes.,Prices vary too much even for same distance routes.,en
2025-04-14 06:24:55,synthetic_user_59,Can we have a fare cap for long routes?,Can we have a fare cap for long routes?,en
2025-05-02 06:24:55,synthetic_user_60,They didn’t explain the new fare structure well.,They didn’t explain the new fare structure well.,en
2025-03-30 06:24:55,synthetic_user_61,Can we have a fare cap for long routes?,Can we have a fare cap for long routes?,en
2025-05-03 06:24:55,synthetic_user_62,People living far from the city are paying too much.,People living far from the city are paying too much.,en
2025-04-07 06:24:55,synthetic_user_63,Prices vary too much even for same distance routes.,Prices vary too much even for same distance routes.,en
2025-03-20 06:24:55,synthetic_user_64,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en
2025-05-16 06:24:55,synthetic_user_65,I support RURA's reform; distance-based pricing is fair.,I support RURA's reform; distance-based pricing is fair.,en
2025-03-27 06:24:55,synthetic_user_66,I support RURA's reform; distance-based pricing is fair.,I support RURA's reform; distance-based pricing is fair.,en
2025-04-23 06:24:55,synthetic_user_67,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en
2025-04-18 06:24:55,synthetic_user_68,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en
2025-04-04 06:24:55,synthetic_user_69,Fare adjustment should have been gradual.,Fare adjustment should have been gradual.,en
2025-04-01 06:24:55,synthetic_user_70,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en
2025-05-07 06:24:55,synthetic_user_71,Can we have a fare cap for long routes?,Can we have a fare cap for long routes?,en
2025-04-05 06:24:55,synthetic_user_72,The smart card system isn't reflecting the new prices.,The smart card system isn't reflecting the new prices.,en
2025-04-02 06:24:55,synthetic_user_73,The idea is good but implementation needs improvement.,The idea is good but implementation needs improvement.,en
2025-05-05 06:24:55,synthetic_user_74,People living far from the city are paying too much.,People living far from the city are paying too much.,en
2025-03-25 06:24:55,synthetic_user_75,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en
2025-03-20 06:24:55,synthetic_user_76,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en
2025-05-08 06:24:55,synthetic_user_77,The smart card system isn't reflecting the new prices.,The smart card system isn't reflecting the new prices.,en
2025-03-29 06:24:55,synthetic_user_78,I travel daily and my cost has doubled — this is unfair.,I travel daily and my cost has doubled — this is unfair.,en
2025-05-04 06:24:55,synthetic_user_79,The idea is good but implementation needs improvement.,The idea is good but implementation needs improvement.,en
2025-04-24 06:24:55,synthetic_user_80,The idea is good but implementation needs improvement.,The idea is good but implementation needs improvement.,en
2025-05-01 06:24:55,synthetic_user_81,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en
2025-05-01 06:24:55,synthetic_user_82,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en
2025-05-18 06:24:55,synthetic_user_83,I travel daily and my cost has doubled — this is unfair.,I travel daily and my cost has doubled — this is unfair.,en
2025-04-01 06:24:55,synthetic_user_84,The smart card system isn't reflecting the new prices.,The smart card system isn't reflecting the new prices.,en
2025-04-16 06:24:55,synthetic_user_85,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en
2025-03-21 06:24:55,synthetic_user_86,I support RURA's reform; distance-based pricing is fair.,I support RURA's reform; distance-based pricing is fair.,en
2025-03-31 06:24:55,synthetic_user_87,Why did the fare increase again this month?,Why did the fare increase again this month?,en
2025-05-12 06:24:55,synthetic_user_88,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en
2025-04-10 06:24:55,synthetic_user_89,Public transport is more organized now but expensive.,Public transport is more organized now but expensive.,en
2025-04-09 06:24:55,synthetic_user_90,The smart card system isn't reflecting the new prices.,The smart card system isn't reflecting the new prices.,en
2025-05-07 06:24:55,synthetic_user_91,Fare adjustment should have been gradual.,Fare adjustment should have been gradual.,en
2025-04-24 06:24:55,synthetic_user_92,People living far from the city are paying too much.,People living far from the city are paying too much.,en
2025-04-05 06:24:55,synthetic_user_93,The new fare system helps short-distance commuters.,The new fare system helps short-distance commuters.,en
2025-03-24 06:24:55,synthetic_user_94,Can we have a fare cap for long routes?,Can we have a fare cap for long routes?,en
2025-04-22 06:24:55,synthetic_user_95,People living far from the city are paying too much.,People living far from the city are paying too much.,en
2025-04-08 06:24:55,synthetic_user_96,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en
2025-03-30 06:24:55,synthetic_user_97,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en
2025-04-11 06:24:55,synthetic_user_98,Can we have a fare cap for long routes?,Can we have a fare cap for long routes?,en
2025-04-03 06:24:55,synthetic_user_99,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en
